Compound_CID,Name,SMILES
74600207,3-[(5-Acetamido-2-hydroxyphenyl)sulfanyl]-2-azaniumylpropanoate,CC(=O)NC1=CC(=C(C=C1)O)SCC(C(=O)[O-])[NH3+]
74325,N-(4-Hydroxyphenyl)propanamide,CCC(=O)NC1=CC=C(C=C1)O
135453282,1-(4-Hydroxyphenyl)ethanone Oxime (4-Hydroxyacetophenone Oxime),C/C(=N/O)/C1=CC=C(C=C1)O
904,Acetanilide,CC(=O)NC1=CC=CC=C1
83967,Acetaminophen mercapturate,CC(=O)NC1=CC(=C(C=C1)O)SC[C@@H](C(=O)O)NC(=O)C
95125,"4,4'-Oxybisacetanilide",CC(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=O)C
3237989,Acetaminophen nicotinate,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CN=CC=C2
5233914,S-(5-acetamido-2-hydroxyphenyl)cysteine,CC(=O)NC1=CC(=C(C=C1)O)SCC(C(=O)O)N
17499,Diacetamate,CC(=O)NC1=CC=C(C=C1)OC(=O)C
13637530,Acetaminophen tbdms,CC(=O)NC1=CC=C(C=C1)O[Si](C)(C)C(C)(C)C
40425339,S-(5-acetamido-2-hydroxyphenyl)-N-acetyl-L-cysteinate,CC(=O)NC1=CC(=C(C=C1)O)SC[C@@H](C(=O)[O-])NC(=O)C
91742514,Acetaminophen ditbdms,CC(=O)N(C1=CC=C(C=C1)O[Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C
76972944,"Acetaminophen-13C2,15N",[13CH3][13C](=O)[15NH]C1=CC=C(C=C1)O
980,4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O
77719,Methyl 4-acetamidosalicylate,CC(=O)NC1=CC(=C(C=C1)C(=O)OC)O
185982,"Acetamide, N-(3-methoxy-4-(sulfooxy)phenyl)-",CC(=O)NC1=CC(=C(C=C1)OS(=O)(=O)O)OC
88510,N-(4-Propoxyphenyl)acetamide,CCCOC1=CC=C(C=C1)NC(=O)C
83998,3-(glutathion-S-yl)acetaminophen,CC(=O)NC1=CC(=C(C=C1)O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N
12124,3-Hydroxyacetanilide,CC(=O)NC1=CC(=CC=C1)O
602532,"Acetamide, N-[4-[(trimethylsilyl)oxy]phenyl]-",CC(=O)NC1=CC=C(C=C1)O[Si](C)(C)C
