,Compound_CID,Name,SMILES
43,6429759,"Lidocaine, M(desethyl-), AC",CCN(CC(=O)NC1=C(C=CC=C1C)C)C(=O)C
44,58781577,3-Nitro Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC(=C1C)[N+](=O)[O-])C
45,170903365,Lidocaine Impurity,CCN(CC(=O)NC1=C(C=CC(=C1C)O)C)CC(=O)NC2=C(C=CC(=C2C)O)C
46,42605856,Lidocaine Lactic Acid,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.CC(C(=O)O)O
47,170453001,Lidocaine Impurity 68,CCN(CC)CC1=NC2=C(C=CC=C2C=N1)C.Cl
48,68521965,Lidocaine hydrobromide,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Br
49,162641438,3-Bromo lidocaine-d5,[2H]C([2H])([2H])C([2H])([2H])N(CC)CC(=O)NC1=C(C=CC(=C1C)Br)C
50,49849768,Lidocaine d10,[2H]C([2H])([2H])CN(CC(=O)NC1=C(C=CC=C1C)C)C([2H])([2H])C([2H])([2H])[2H]
51,163322676,Lidocaine impurity 5-d6,[2H]C([2H])([2H])C1=C(C(=CC=C1)C([2H])([2H])[2H])NC(=O)C(=O)O
52,169444696,N-Nitroso Lidocaine EP Impurity E,CC1=C(C(=CC=C1)C)NC(=O)CN(CC(=O)NC2=C(C=CC=C2C)C)N=O
53,76962800,Lidocaine maleate,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.C(=C\C(=O)O)\C(=O)O
54,3043678,Epinephrine mixture with lidocaine hydrochloride,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.CNC[C@@H](C1=CC(=C(C=C1)O)O)O.Cl
55,176481233,Lidocaine Impurity 25,CCN(CC)CC1NC2=C(C=CC=C2C=N1)C
56,176481237,Lidocaine Impurity 71,CCN(CC)CC(=O)NC1=C(C(=C(C=C1)C)N)C
57,176481241,Lidocaine Impurity 76,CC1=C(C(=CC=C1)C)NC(=O)CN(C)N=O
58,176481232,Lidocaine EP Impurity D (trifluoroacetate),CCNCC(=O)NC1=C(C=CC=C1C)C.C(=O)(C(F)(F)F)[O-]
59,176481240,Lidocaine Impurity 75,CCN(CC)C(C(=O)NC1=C(C=CC=C1C)C)Cl
60,176491012,N-Nitroso-Desethyl Lidocaine D5,[2H]C([2H])([2H])C([2H])([2H])N(CC(=O)NC1=C(C=CC=C1C)C)N=O
61,176481238,Lidocaine Impurity 72,CCN(CC)CC(=O)NC1=C(C(=C(C=C1)C)NC(=O)CN(CC)CC)C
62,191932,Methyl nitrile lidocaine analog,CCN(CC)CC(=O)NC1=C(C(=C(N1)C)C)C#N.Cl
63,178020,Lidocaine tosylate,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.CC1=CC=C(C=C1)S(=O)(=O)O
64,178021,Lidocaine adipate,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.C(CCC(=O)O)CC(=O)O
65,198524,Benzyl nitrile lidocaine analog,CCN(CC)CC(=O)NC1=C(C(=C(N1)CC2=CC=CC=C2)C)C#N.Cl
66,6429760,"Lidocaine, M(HO-), AC",CCN(CC)CC(=O)NC1=C(C=C(C=C1C)OC(=O)C)C
67,10037577,Lidocaine impurity 40,CCCN1C(C(=O)N(C1C)C2=CC=CC=C2C)C
68,2109210,"2,2'-Iminobis(N-(2,6-dimethylphenyl)acetamide)",CC1=C(C(=CC=C1)C)NC(=O)CNCC(=O)NC2=C(C=CC=C2C)C
69,118989034,"2-(Diethylamino)-N-(2,3-dimethylphenyl)acetamide Hydrochloride",CCN(CC)CC(=O)NC1=CC=CC(=C1C)C.Cl
70,118989035,"2-(Isopropylamino)-2',6'-acetoxylidide Hydrochloride",CC1=C(C(=CC=C1)C)NC(=O)CNC(C)C.Cl
71,46781380,"Acetamide, N-(2,6-dimethylphenyl)-2-(ethylmethylamino)-, monohydrochloride",CCN(C)CC(=O)NC1=C(C=CC=C1C)C.Cl
72,23620769,"2-(Isopropylamino)-2',6'-acetoxylidide",CC1=C(C(=CC=C1)C)NC(=O)CNC(C)C
73,16616,"N-Acetyl-2,6-xylidine",CC1=C(C(=CC=C1)C)NC(=O)C
74,3036923,Lignocaine N-oxide,CC[N+](CC)(CC(=O)NC1=C(C=CC=C1C)C)[O-]
75,11651585,"2-(diethylamino)-N-(2,5-dimethylphenyl)acetamide",CCN(CC)CC(=O)NC1=C(C=CC(=C1)C)C
76,11637240,"2-Diethylamino-2',3'-acetoxylidide",CCN(CC)CC(=O)NC1=CC=CC(=C1C)C
77,121230623,"2-(Diethylamino)-N-(2,5-dimethylphenyl)acetamide hydrochloride",CCN(CC)CC(=O)NC1=C(C=CC(=C1)C)C.Cl
