Compound_CID,Name,SMILES
169435495,"'N-(2-((3,5-bis(methoxy-d3)phenyl)(3-(1-methyl-1H-pyrazol-4-yl)quinoxalin-6-yl)amino)ethyl)-N-isopropylnitrous amide'",[2H]C([2H])([2H])OC1=CC(=CC(=C1)N(CCN(C(C)C)N=O)C2=CC3=NC(=CN=C3C=C2)C4=CN(N=C4)C)OC([2H])([2H])[2H]
151646017,"N-(2,2,2-trifluoro-1-hydroxyethyl)nitrous amide",C(C(F)(F)F)(NN=O)O
149429069,"N-(2,3-dihydro-1H-inden-1-yl)nitrous amide",C1CC2=CC=CC=C2C1NN=O
16132173,Glucagon-like peptide 1 (7-36)amide,CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CNC2=CC=CC=C21)N)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCC(=O)OC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H](CCC(=O)OC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CC5=CNC=N5)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC6=CC=C(C=C6)O)N)NC(=O)[C@H](CCCCN)N
96819,Carbobenzoxyglycylphenylalanine amide,C1=CC=C(C=C1)C[C@@H](C(=O)N)NC(=O)CNC(=O)OCC2=CC=CC=C2
123131959,"ACTH amide (1-20), ala(1)-",C[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC4=CNC5=CC=CC=C54)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N6CCC[C@H]6C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N7CCC[C@H]7C(=O)N[C@@H](C(C)C)C(=O)N)N
14194442,N-(2-Methylpropyl)-N-(2-oxopropyl)nitrous amide,CC(C)CN(CC(=O)C)N=O
12835569,N-(3-Methylphenyl)-N-phenylnitrous amide,CC1=CC(=CC=C1)N(C2=CC=CC=C2)N=O
12776034,N-(2-Methylphenyl)nitrous amide,CC1=CC=CC=C1NN=O
3316605,Methylphosphonic amide,CP(=O)(N)O
3273790,N-(3-acetyl-5-cyano-6-methyl-4-phenylpyridin-2-yl)-N-methylnitrous amide,CC1=C(C(=C(C(=N1)N(C)N=O)C(=O)C)C2=CC=CC=C2)C#N
445694,Phenylalanine amide,C1=CC=C(C=C1)C[C@@H](C(=O)N)N
101669768,N-(2-Cyanoethyl)nitrous amide,C(CNN=O)C#N
228424,"N,N-bis[2-oxo-2-(2-phenylhydrazinyl)ethyl]nitrous amide",C1=CC=C(C=C1)NNC(=O)CN(CC(=O)NNC2=CC=CC=C2)N=O
272027,"N-[4-(2,3-dihydro-1H-inden-1-ylmethyl)phenyl]-N-methylnitrous amide",CN(C1=CC=C(C=C1)CC2CCC3=CC=CC=C23)N=O
227257,N-methyl-N-[4-[[4-[methyl(nitroso)amino]phenyl]methyl]phenyl]nitrous amide,CN(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C)N=O)N=O
240710,N-methyl-N-naphthalen-2-ylnitrous amide,CN(C1=CC2=CC=CC=C2C=C1)N=O
240709,N-methyl-N-naphthalen-1-ylnitrous amide,CN(C1=CC=CC2=CC=CC=C21)N=O
235918,N-Methyl-N-[(pyridin-3-yl)methyl]nitrous amide,CN(CC1=CN=CC=C1)N=O
245212,"N,N-bis(4-dimethylaminophenyl)nitrous amide",CN(C)C1=CC=C(C=C1)N(C2=CC=C(C=C2)N(C)C)N=O
21678840,N-(Cyanomethyl)-N-propan-2-ylnitrous amide,CC(C)N(CC#N)N=O
10052040,1-(9-(4-chlorophenyl)-8-(2-chlorophenyl)-9H-purin-6-yl)-4-ethylaminopiperidine-4-carboxylic acid amide,CCNC1(CCN(CC1)C2=NC=NC3=C2N=C(N3C4=CC=C(C=C4)Cl)C5=CC=CC=C5Cl)C(=O)N
168448985,"N-(7-(3-Chloropropoxy)-3-cyano-6-methoxyquinolin-4-yl)-N-(2,4-dichloro-5-methoxyphenyl)nitrous amide",COC1=C(C=C2C(=C1)C(=C(C=N2)C#N)N(C3=CC(=C(C=C3Cl)Cl)OC)N=O)OCCCCl
168448984,"N-(7-(3-Chloropropoxy)-3-cyano-6-methoxyquinolin-4-yl)-N-(2,4-dichloro-5-methoxyphenyl)nitrous amide hydrochloride",COC1=C(C=C2C(=C1)C(=C(C=N2)C#N)N(C3=CC(=C(C=C3Cl)Cl)OC)N=O)OCCCCl.Cl
168450568,"N-(1-Acetyl-4,5-dihydro-1H-imidazol-2-yl)-N-(4,6-dichloro-2-methylpyrimidin-5-yl)nitrous amide",CC1=NC(=C(C(=N1)Cl)N(C2=NCCN2C(=O)C)N=O)Cl
168007313,"N-Methyl-N-phenylnitrous amide-13C,d3,15N",[2H][13C]([2H])([2H])[15N](C1=CC=CC=C1)N=O
16131382,N-Acetyl-cholera toxin (50-64)-3-amide,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N)NC(=O)[C@H](CC1C=NC=N1)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)C
16003447,5-Furan-2yl-isoxazole-3-carboxylic acid (3-imidazol-1yl-propyl)-amide,C1=COC(=C1)C2=CC(=NO2)C(=O)NCCCN3C=CN=C3
