Compound_CID,Name,SMILES
3743430,8-[(3-Phenylpropyl)Amino]Caffeine,CN1C2=C(N=C1NCCCC3=CC=CC=C3)N(C(=O)N(C2=O)C)C
164577003,Caffeine tartrate,CN1C2=C3N=C1OC(=O)C(C(C(=O)OCN3C(=O)N(C2=O)C)O)O
53311321,Pterostilbene caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC
145705696,Caffeine-d3 (7-methyld-d3),[2H]C([2H])([2H])[N+]1=CN=C2C1C(=O)N(C(=O)N2C)C
132275987,Caffeine-maleic acid,CN1C=NC2=C1C(=O)N(C(=O)N2C)C/C(=C/C(=O)O)/C(=O)O
153639142,8-[(1-Aminocyclohexyl) ethynyl]caffeine,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)C#CC3(CCCCC3)N
28309,"Caffeine, monohydriodide",C[NH+]1C=NC2=C1C(=O)N(C(=O)N2C)C.[I-]
33183,8-(Decylthio)-caffeine,CCCCCCCCCCSC1=NC2=C(N1C)C(=O)N(C(=O)N2C)C
52354,8-(Cyclopentyloxy)-caffeine,CN1C2=C(N=C1OC3CCCC3)N(C(=O)N(C2=O)C)C
52352,8-(Cycloheptyloxy)-caffeine,CN1C2=C(N=C1OC3CCCCCC3)N(C(=O)N(C2=O)C)C
52359,8-(Nonylthio)-caffeine,CCCCCCCCCSC1=NC2=C(N1C)C(=O)N(C(=O)N2C)C
52353,8-(Cyclopentylmethyl)-caffeine,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CC3CCCC3
21552,8-(p-Aminobenzyl)-caffeine,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CC3=CC=C(C=C3)N
139038963,Caffeine 3-hydroxy-2-naphthoic acid,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O
12146090,N-methyl caffeine,CN1CN(C2=C1C(=O)N(C(=O)N2C)C)C
135393917,Caffeine oleate,CCCCCCCC/C=C\CCCCCCCC(=O)OC1=NC2=C(N1C)C(=O)N(C(=O)N2C)C
78776769,Phenethyl caffeinate,CN1C=NC2=C1C(=O)N(C(=O)N2C)CC(=O)OCCC3=CC=CC=C3
625677,8-[1-Cyclohexenylmethyl]caffeine,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CC3=CCCCC3
150304,Acetaminophen-Aspirin-Caffeine mixt.,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C(=C1)C(=O)N)O
23678000,"Chlorogenic acid, monopotassium salt, compd with caffeine (1:1)",CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)[O-])O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O.[K+]
46232851,8-(3-Chlorobenzyloxy)caffeine,CN1C2=C(N=C1OCC3=CC(=CC=C3)Cl)N(C(=O)N(C2=O)C)C
46232855,8-(3-Methylbenzyloxy)caffeine,CC1=CC(=CC=C1)COC2=NC3=C(N2C)C(=O)N(C(=O)N3C)C
46232853,8-(3-Fluorobenzyloxy)caffeine,CN1C2=C(N=C1OCC3=CC(=CC=C3)F)N(C(=O)N(C2=O)C)C
46232852,8-(3-Bromobenzyloxy)caffeine,CN1C2=C(N=C1OCC3=CC(=CC=C3)Br)N(C(=O)N(C2=O)C)C
131746232,Caffeine TPGS,CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)CCC(=O)OCCO)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
131740271,Caffeine Tannic Acid,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O
269348,8-[2-Norbornylmethyloxy]caffeine,CN1C2=C(N=C1OCC3CC4CCC3C4)N(C(=O)N(C2=O)C)C
267090,8-[3-Cyclohexenyl]caffeine,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)C3CCC=CC3
235295,"Caffeine, 8-(hydroxymethyl)-",CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CO
13001305,"Caffeine (2-13C, 99%; 1,3-15N2, 98%+)",CN1C=NC2=C1C(=O)[15N]([13C](=O)[15N]2C)C
85364151,Caffeine mixture with drotaverine hydrochloride and methamizole sodium,CCOC1=C(C=C(C=C1)/C=C\2/C3=CC(=C(C=C3CCN2)OCC)OCC)OCC.CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].CN1C=NC2=C1C(=O)N(C(=O)N2C)C.[Na+].Cl
86644104,Quercetin caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
