,Compound_CID,Name,SMILES
32,15291302,"1,3-Di-cyclopropylmethyl-8-bromo xanthine",C1CC1CN2C3=C(C(=O)N(C2=O)CC4CC4)NC(=N3)Br
33,86585572,(R)-1-(5-acetoxyhexyl)-7-benzyl-3-methyl 8-(N-(trifluoroacetoxy)aminomethyl)xanthine,C[C@H](CCCCN1C(=O)C2=C(N=C(N2CC3=CC=CC=C3)CNOC(=O)C(F)(F)F)N(C1=O)C)OC(=O)C
34,68601191,(Indolizin-2-yl)methyl-3-methyl-7-(2-butyn-1-yl)-8-bromo-xanthine,CC#CCN1C2=C(N=C1Br)N(C(=O)N(C2=O)CC3=CN4C=CC=CC4=C3)C
35,9966057,"1,3-Di-n-butyl-8-chloro Xanthine",CCCCN1C2=C(C(=O)N(C1=O)CCCC)NC(=N2)Cl
36,9944978,"1,3-Di-n-butyl-8-acetamido Xanthine",CCCCN1C2=C(C(=O)N(C1=O)CCCC)NC(=N2)NC(=O)C
37,17857237,Xanthine hydrochloride,C1=NC2=C(N1)C(=O)NC(=O)N2.Cl
38,150049964,Xanthine oxidase-IN-7,C1CCC(C1)N2C=C(C3=C2C=CC(=C3)C4=NOC(=O)N4)C#N
39,91126174,8-(1h-Pyrazol-4-yl)xanthine,C1=C(C=NN1)C2=NC3=C(N2)C(=O)NC(=O)N3
40,125331077,8-Bromo-3-methyl-9-(2-butynyl)-xanthine,CC#CCN1C2=C(C(=O)NC(=O)N2C)N=C1Br
41,101499773,"1,3,7-Trimethyl-8-(5-formylthiophen-2-yl)-xanthine",CN1C2=C(N=C1C3=CC=C(S3)C=O)N(C(=O)N(C2=O)C)C
42,10475778,3-[2-(4-aminophenyl)ethyl]-1-propyl-8-[(1H-tetrazol-5-yl)methyl]xanthine,CCCN1C(=O)C2=C(N=C(N2)CC3=NNN=N3)N(C1=O)CCC4=CC=C(C=C4)N
43,46780260,"5-Amino-3,7-dimethyl Xanthine-d6",[2H]C([2H])([2H])N1C=NC2=C1C(=O)N(C(=O)N2C([2H])([2H])[2H])N
44,1330,"4-(2,3,6,7-Tetrahydro-2,6-dioxo-1,3-dipropyl-1H-purin-8-yl)benzenesulfonic acid",CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)S(=O)(=O)O
45,5429,Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C
46,20041127,7-Benzyl-3-methyl-1-(5-oxohexyl)xanthine,CC(=O)CCCCN1C(=O)C2=C(N=CN2CC3=CC=CC=C3)N(C1=O)C
47,20157766,"1,3-Dibutyl-7-(3-butenyl)xanthine",CCCCN1C2=C(C(=O)N(C1=O)CCCC)N(C=N2)CCC=C
