Compound_CID,Name,SMILES
53464135,Ibuprofen-CoA,CC(C)CC1=CC=C(C=C1)C(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)([O-])[O-])O
57347707,rac 2-Hydroxy Ibuprofen-d6,[2H]C([2H])([2H])C(CC1=CC=C(C=C1)C(C)C(=O)O)(C([2H])([2H])[2H])O
123729141,Sila-ibuprofen,CC(C1=CC=C(C=C1)C[SiH](C)C)C(=O)O
11745483,"Ibuprofen alcohol, (-)-",C[C@H](CO)C1=CC=C(C=C1)CC(C)C
9951328,Ibuprofen and pseudoephedrine,C[C@@H]([C@H](C1=CC=CC=C1)O)NC.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
135565807,Ibuprofen arginine [WHO-DD],CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].C(C[C@@H](C(=O)O)N)C[NH+]=C(N)N
176474709,Ibuprofen impurity 128,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC(CNC)C2=CC(=CC=C2)O
176474703,Ibuprofen Impurity 76,CC1=CC=C(C=C1)C(C)C(=O)OCC(C)(C)CCl
1207292,"(S,S)-N-(1-Phenylethyl) Ibuprofen Amide",C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)N[C@@H](C)C2=CC=CC=C2
175673423,Ibuprofen Impurity 15,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC2=CC=CC(=C2)[C@H](CNC)O
175673424,Ibuprofen Impurity T,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[C@@H](CNC)C2=CC(=CC=C2)O
162642392,p-Butyl Ibuprofen-d3 Sodium Salt,[2H]C([2H])([2H])C(C1=CC=C(C=C1)CCCC)C(=O)[O-].[Na+]
86623031,Aminopropanol ibuprofen Hydrochloride,CCC(N)O.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.Cl
595156,Ibuprofenal,CC(C)CC1=CC=C(C=C1)C(C)C=O
6919043,(S)-ibuprofen,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)[O-]
67821806,Ibuprofen hexane,CCCCCC.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
177958,Cholesteryl ibuprofen,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC(=O)C(C)C5=CC=C(C=C5)CC(C)C)C)C
11076457,Ibuprofen 2-chloroethyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCCCl
86660791,ibuprofen acetone water CO2,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)C.C(=O)=O.O
9812525,Ibuprofen beta-cyclodextrin,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O
9849057,Ibuprofen codeine,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
6926382,(R)-Ibuprofen,C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)[O-]
15948295,Strontium Ibuprofen Salt,CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].[Sr+2]
16697055,Ibuprofen aluminium salt,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[Al](OC(=O)C(C)C2=CC=C(C=C2)CC(C)C)OC(=O)C(C)C3=CC=C(C=C3)CC(C)C
15008340,(S)-ibuprofen N-methyl-D-glucamine salt,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
134658342,Ibuprofen Impurity 18,CC(C)CC1=CC(=CC=C1)C(=O)C(C)Cl
86745308,Ibuprofen Sorbitol,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
13175015,Ibuprofen methoxyethyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCCOC
19850539,Ibuprofen Impurity 9,CC1=CC=C(C=C1)S(=O)(=O)OCC(C)(C)CCl
86623030,Boc-aminopropanol ibuprofen,CCC(C(=O)OC(C)(C)C)(N)O.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
23667612,Water ibuprofen sodium salt,CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].O.[Na+]
23717866,(s)-Ibuprofen sodium salt,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)[O-].[Na+]
21323312,Ibuprofen trifluoroethyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCC(F)(F)F
23352695,Ibuprofen dihydrate,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.O.O
91723757,"Ibuprofen, heptadecyl ester",CCCCCCCCCCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
131719976,(S)-ibuprofen N-octyl-D-glucamine salt,CCCCCCCCNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O
131732928,Ibuprofen Strontium Ascorbate,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)[O-])O)O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)[O-])O)O)O.[Sr+2]
91723756,"Ibuprofen, tetradecyl ester",CCCCCCCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
44610698,(+)-tramadol (S)-ibuprofen,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O.CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O
54252666,(s)-Ibuprofen n-propyl ester,CCCOC(=O)[C@@H](C)C1=CC=C(C=C1)CC(C)C
131735801,Ibuprofen Ciprofloxacin,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
