,Compound_CID,Name,SMILES
38,168339165,"RS-naproxen D-proline 1:1 cocrystal, polymorph II",C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@H]([NH2+]C1)C(=O)[O-].C1C[C@H]([NH2+]C1)C(=O)[O-]
39,44147054,Naproxen aminobutanol,CCC(CO)N.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
40,49849423,"(inverted exclamation markA)-Naproxen-13C,d3",[2H][13C]([2H])([2H])OC1=CC2=C(C=C1)C=C(C=C2)C(C)C(=O)O
41,60457,2-Hydroxyethyl naproxenate,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCCO
42,9837916,Sodium naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.[Na]
43,10413000,"Naproxen, octadecyl ester",CCCCCCCCCCCCCCCCCCOC(=O)C(C)C1=CC2=C(C=C1)C=C(C=C2)OC
44,15545563,Naproxen 3-hydroxypropyl ester,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCCCO
45,21412586,"Naproxen, hexadecyl ester",CCCCCCCCCCCCCCCCOC(=O)C(C)C1=CC2=C(C=C1)C=C(C=C2)OC
46,13152115,(R)-5-Bromo Naproxen,C[C@H](C1=CC2=C(C=C1)C(=C(C=C2)OC)Br)C(=O)O
47,13393710,(R)-O-Desmethyl Naproxen,C[C@H](C1=CC2=C(C=C1)C=C(C=C2)O)C(=O)O
48,86658638,Naproxen cesium,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.[Cs]
49,18603625,Naproxen alcohol,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OO
50,91729740,"Naproxen, heptadecyl ester",CCCCCCCCCCCCCCCCCOC(=O)C(C)C1=CC2=C(C=C1)C=C(C=C2)OC
51,139196854,L-Prolinium cocrystal of S-Naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@H]([NH2+]C1)C(=O)[O-]
52,139198550,S-naproxen L-alanine,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C(=O)[O-])[NH3+]
53,91729733,"Naproxen, tetradecyl ester",CCCCCCCCCCCCCCOC(=O)C(C)C1=CC2=C(C=C1)C=C(C=C2)OC
54,67607212,S-naproxen ethanol solvate,CCO.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
55,46705297,Naproxen Metheyl Amide,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)NC
56,131736273,(-)-tramadol (S)-naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.CN(C)C[C@@H]1CCCC[C@]1(C2=CC(=CC=C2)OC)O
57,46782449,(S)-Naproxen Acyl-beta-D-glucuronide Benzyl Ester,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O[C@@H]3[C@@H]([C@@H]([C@H](C(O3)C(=O)OCC4=CC=CC=C4)O)O)O
58,54393649,Naproxen butyl ester,CCCCOC(=O)[C@@H](C)C1=CC2=C(C=C1)C=C(C=C2)OC
59,46782446,(R)-Naproxen Acyl-beta-D-glucuronide Benzyl Ester,C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O[C@@H]3[C@@H]([C@@H]([C@H](C(O3)C(=O)OCC4=CC=CC=C4)O)O)O
60,118856069,(S)-Naproxen iso-acyl-beta-D-glucuronidediscontinued,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O[C@H]3C(C([C@@H](C(O3)C(=O)O)O)O)O
61,54484412,Naproxen O-glucuronide,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O
62,77557160,Naproxen sodium dihydrate,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].O.O.[Na+]
63,86623029,Aminopropanol naproxen Hydrochloride,CCC(N)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.Cl
64,59014996,"(R,S)-Naproxen-1,3,4,5,7,8-d6",[2H]C1=C(C(=C(C2=C1C(=C(C(=C2[2H])[2H])OC)[2H])[2H])C(C)C(=O)O)[2H]
65,92024125,Demethyl naproxen acyl-beta-D-glucuronide,COC1=CC2=C(C=C1)C=C(C=C2)CC(=O)OC3C(C(C(C(O3)C(=O)O)O)O)O
66,90804054,Naproxen-d1,[2H]OC(=O)[C@@H](C)C1=CC2=C(C=C1)C=C(C=C2)OC
67,91729739,"Naproxen, pentadecyl ester",CCCCCCCCCCCCCCCOC(=O)C(C)C1=CC2=C(C=C1)C=C(C=C2)OC
68,98108373,(S)-Naproxen acyl-B-D-glucuronide benzyl ester,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O[C@@H]3CCCCO3
69,86623028,Boc-aminopropanol naproxen,CCC(C(=O)OC(C)(C)C)(N)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
70,86599386,Tilmicosin Naproxen,CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CCN3C[C@@H](C[C@@H](C3)C)C)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
71,70257390,Calcium naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Ca+2]
72,139198551,S-naproxen D-alanine,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@H](C(=O)[O-])[NH3+]
73,100996897,"(r,s)-Naproxen 2,2,2-trifluoroethyl ester",C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCC(F)(F)F
74,139205087,"Co-crystal of naproxen and 4,4'-azopyridine",C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1=CN=CC=C1N=NC2=CC=NC=C2
75,172642097,(R)-Naproxen acyl-b-D-glucuronide benzyl ester,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O[C@H]3C([C@@H]([C@@H](C(O3)C(=O)OCC4=CC=CC=C4)O)O)O
76,10087109,"Naproxen,acetyloxyethyl ester",CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCCOC(=O)C
77,129866199,Naproxen sodium tetrahydrate,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].O.O.O.O.[Na+]
78,6429924,"Naproxen, TBDMS",CC(C)(C)[Si](C)(C)OC(=O)CC1=CC2=C(C=C1)C=C(C=C2)OC
79,131736274,(+)-tramadol (R)-naproxen,C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O
80,711616,Ethyl (2S)-2-(6-Methoxynaphthalen-2-yl)propanoate (Naproxen Ethyl Ester),CCOC(=O)[C@H](C)C1=CC2=C(C=C1)C=C(C=C2)OC
81,6925666,Naproxen(1-),C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-]
82,176481417,Naproxen Impurity 19,CC1=CC2=C(CC(=CC2)C(C)O)C=C1
83,131727063,Naproxen Succinimide,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1CC(=O)NC1=O
84,131727751,Naproxen 6-aminohexanoic Acid Serinol,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C(CCC(=O)O)CCN.C(C(CO)N)O
85,129704790,Naproxen salicylate,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OOC(=O)C3=CC=CC=C3O
86,68542372,Naproxen monohydrate,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.O
87,24795900,(S)-Naproxen-d6 Methyl Ester,[2H]C([2H])([2H])OC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(=O)OC([2H])([2H])[2H]
88,176481423,Naproxen Impurity 9 Sodium Salt,CC(C(=O)C1=CC2=C(C=C1)C=C(C=C2)[O-])OCC(C)(C)CO.[Na+]
89,136387734,Acyclovir Imidazole Naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1=CN=CN1.C1=NC2=C(N1COCCO)N=C(NC2=O)N
90,136387738,Acyclovir Sodium Imidazole Naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1=CN=CN1.C1=NC2=C(N1COCCO)N=C(NC2=O)N.[Na]
91,169501932,Naproxen-O-glucuronide,C[C@H]1[C@@H]([C@H](OC([C@@H]1C)OC(=O)[C@@H](C)C2=CC3=C(C=C2)C=C(C=C3)OC)C(=O)O)C
92,129318419,"Naproxen 2,3-Butylene Glycol Ester",C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OC(C)C(C)O
93,129882629,Glucosyl naproxen,CC(C1=C(C2=C(C=C1)C=C(C=C2)OC)C3([C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)C(=O)O
